group, stage          , team1                 , team2                 , venue                  , city           , country, date      , kickoff_et, team1_confederation, team1_fifa_rank, team1_coach        , team2_confederation, team2_fifa_rank, team2_coach        , team1_normalized      , team2_normalized      , team1_elo, team2_elo, team1_elo_rank, team2_elo_rank, team1_last5_wins, team2_last5_wins, team1_last5_draws, team2_last5_draws, team1_last5_losses, team2_last5_losses, team1_last5_goals_for, team2_last5_goals_for, team1_last5_goals_against, team2_last5_goals_against, team1_last5_goal_difference, team2_last5_goal_difference, elo_diff, elo_rank_diff, last5_goal_diff_difference, last5_win_difference
K    , Group Stage    , Portugal              , DR Congo              , NRG Stadium            , Houston        , USA    , 2026-06-17, 13:00 ET  , UEFA               ,             5.0, Roberto Martínez   , CAF                ,            51.0, Sébastien Desabre  , Portugal              , DR Congo              ,    1984.0,    1655.0,            5.0,           54.0,              3.0,              2.0,               2.0,               2.0,                0.0,                1.0,                   7.0,                   5.0,                       3.0,                       3.0, 4.0                        , 2.0                        , 329.0   , -49.0        , 2.0                       , 1.0
K    , Group Stage    , Uzbekistan            , Colombia              , Estadio Azteca         , Mexico City    , Mexico , 2026-06-17, 22:00 ET  , AFC                ,            62.0, Srecko Katanec     , CONMEBOL           ,            13.0, Néstor Lorenzo     , Uzbekistan            , Colombia              ,    1727.0,    1975.0,           38.0,            7.0,              1.0,              3.0,               1.0,               0.0,                3.0,                2.0,                   5.0,                  10.0,                       8.0,                       7.0, -3.0                       , 3.0                        , -248.0  , 31.0         , -6.0                      , -2.0
L    , Group Stage    , Ghana                 , Panama                , BMO Field              , Toronto        , Canada , 2026-06-17, 18:00 ET  , CAF                ,            65.0, Otto Addo          , CONCACAF           ,            53.0, Thomas Christiansen, Ghana                 , Panama                ,    1503.0,    1737.0,           82.0,           36.0,              1.0,              2.0,               1.0,               1.0,                3.0,                2.0,                   4.0,                   9.0,                      10.0,                      11.0, -6.0                       , -2.0                       , -234.0  , 46.0         , -4.0                      , -1.0
L    , Group Stage    , England               , Croatia               , AT&T Stadium           , Arlington      , USA    , 2026-06-17, 15:00 ET  , UEFA               ,             4.0, Thomas Tuchel      , UEFA               ,            11.0, Zlatko Dalić       , England               , Croatia               ,    2020.0,    1930.0,            4.0,           10.0,              3.0,              2.0,               1.0,               0.0,                1.0,                3.0,                   9.0,                   7.0,                       4.0,                      11.0, 5.0                        , -4.0                       , 90.0    , -6.0         , 9.0                       , 1.0
A    , Group Stage    , South Korea           , Mexico                , Estadio Akron          , Guadalajara    , Mexico , 2026-06-18, 21:00 ET  , AFC                ,            25.0, Hong Myung-bo      , CONCACAF           ,            15.0, Javier Aguirre     , South Korea           , Mexico                ,    1752.0,    1860.0,           33.0,           20.0,              3.0,              5.0,               0.0,               0.0,                2.0,                0.0,                   8.0,                  11.0,                       3.0,                       1.0, 5.0                        , 10.0                       , -108.0  , 13.0         , -5.0                      , -2.0
A    , Group Stage    , Czechia               , South Africa          , Estadio Akron          , Guadalajara    , Mexico , 2026-06-18, 18:00 ET  , UEFA               ,            41.0, Ivan Hasek         , CAF                ,            60.0, Hugo Broos         , Czechia               , South Africa          ,    1726.0,    1524.0,           40.0,           79.0,              2.0,              1.0,               2.0,               2.0,                1.0,                2.0,                  11.0,                   3.0,                       7.0,                       5.0, 4.0                        , -2.0                       , 202.0   , -39.0        , 6.0                       , 1.0
B    , Group Stage    , Switzerland           , Bosnia and Herzegovina, BC Place               , Vancouver      , Canada , 2026-06-18, 15:00 ET  , UEFA               ,            19.0, Murat Yakin        , UEFA               ,            52.0, Sergej Barbarez    , Switzerland           , Bosnia and Herzegovina,    1889.0,    1594.0,           16.0,           66.0,              2.0,              0.0,               3.0,               4.0,                0.0,                1.0,                  10.0,                   4.0,                       4.0,                       7.0, 6.0                        , -3.0                       , 295.0   , -50.0        , 9.0                       , 2.0
C    , Group Stage    , Morocco               , Haiti                 , MetLife Stadium        , East Rutherford, USA    , 2026-06-19, 21:00 ET  , CAF                ,             8.0, Walid Regragui     , CONCACAF           ,            83.0, Marc Collat        , Morocco               , Haiti                 ,    1822.0,    1532.0,           24.0,           77.0,              3.0,              1.0,               2.0,               1.0,                0.0,                3.0,                  13.0,                   6.0,                       3.0,                       5.0, 10.0                       , 1.0                        , 290.0   , -53.0        , 9.0                       , 2.0
D    , Group Stage    , USA                   , Australia             , Lincoln Financial Field, Philadelphia   , USA    , 2026-06-19, 15:00 ET  , CONCACAF           ,            16.0, Mauricio Pochettino, AFC                ,            26.0, Tony Popovic       , United States         , Australia             ,    1721.0,    1783.0,           41.0,           26.0,              2.0,              3.0,               0.0,               1.0,                3.0,                1.0,                  10.0,                   9.0,                      12.0,                       3.0, -2.0                       , 6.0                        , -62.0   , 15.0         , -8.0                      , -1.0
B    , Group Stage    , Canada                , Qatar                 , BC Place               , Vancouver      , Canada , 2026-06-19, 18:00 ET  , CONCACAF           ,            30.0, Jesse Marsch       , AFC                ,            35.0, Marquez Lopez      , Canada                , Qatar                 ,    1784.0,    1425.0,           25.0,           95.0,              2.0,              0.0,               3.0,               2.0,                0.0,                3.0,                  10.0,                   1.0,                       2.0,                      11.0, 8.0                        , -10.0                      , 359.0   , -70.0        , 18.0                      , 2.0
